aflt_id,biz_no,aflt_nm,zip_cd,addrs,addrs2,small_td,ctgr_cd,business,ctgry,onln_excu_yn,close_yn,ctgrNew
202106951317,1755400573,비언유주얼 삼청점,3053,서울특별시 종로구삼청로96(삼청동),2층,1,56123,"음식점업, 서비스","양식, 공간대여",,,56
202108101457,1010237177,등촌샤브칼국수,3190,"서울특별시 종로구삼일대로15길3(관철동,1층)",등촌샤브칼국수,1,56112,숙박 및 음식점업,한식 면 요리 전문점,,,56
202106952839,2293300967,매화다방,3132,서울특별시 종로구삼일대로32가길46(익선동),1층,1,56123,음식,경양식,,,56
202108101360,4120753766,마루초밥,3101,서울특별시 종로구창신길17(창신동),"1층, 마루초밥",1,56122,일반음식점,일식,,,56
202108101510,2200675844,샛별당,3062,"서울특별시 종로구율곡로3길83(소격동,1층)",샛별당,1,56194,숙박 및 음식점업,김밥 및 기타 간이 음식점업,,,56
202108101511,2200695461,에이티엠（ATM）,3006,서울특별시 종로구평창11길45(평창동),에이티엠（ATM）,1,56199,숙박 및 음식점업,간이 음식 포장 판매 전문점,,,56
202106954416,8583900748,첨밀밀,3156,서울특별시 종로구종로3길44(청진동),1층,1,56194,음식점업,한식 휴게음식점,Y,Y,56
202106956434,2363600971,이태리탁,3060,서울특별시 종로구율곡로5길24(안국동),이태리탁,1,56123,숙박 및 음식점업,서양식 음식점업,,,56
202106956680,2773800845,철문집온,3073,서울특별시 종로구성균관로5길9(명륜3가),2층,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202106956682,5230602110,인터미션,3085,서울특별시 종로구낙산길21(동숭동),2층,1,56221,숙박 및 음식점업,커피 전문점,,,56
202106955858,3590901767,카페루치아,3159,서울특별시 종로구종로33(청진동),그랑서울빌딩 101호,1,56221,휴게음식점,카페,,,56
202106956506,2050951897,올로(olo),3133,서울특별시 종로구돈화문로11가길21(익선동),대구장여관2층 익선동,1,56219,숙박 및 음식점업,기타 주점업,,,56
202104884775,2083906821,(펫카페) CAFE CUN,3105,서울특별시 종로구종로319(창신동),2층,1,56221,숙박 및 음식점업,커피 전문점,Y,Y,56
202106958110,3442801053,대성정육식당,3084,서울특별시 종로구대학로14길10,1층,1,56111,음식업점,한식,,,56
202108101666,4562301079,우리들,3175,서울특별시 종로구경희궁길28서광빌딩지하1층,우리들,1,56111,숙박 및 음식점업,한식 일반 음식점업,,,56
202002344464,1078611651,차이797 광화문점,3173,서울특별시 종로구새문안로5길31(도렴동),지상2층 201호,N,56121,음식,중국음식점,,,56
202106961953,7420701820,파라다이스 커피숍,3139,"서울특별시 종로구돈화문로11길29(돈의동,낙원오피스텔)",1층1호,1,56221,숙박 및 음식점업,커피 전문점,,,56
